dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon,nope,nope,nope,nope
"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)","일반의약품, 건강기능식품, 유산균, 동물의약품, 의료기기, 당뇨소모성재료
창동역2번출구쪽공영주차장앞 삼원프라자1층 ",가야온누리약국,02-997-4540,1800,800,1800,800,1800,800,1800,800,1800,800,1300,800,C1104582,14,5,1,37.65195175,127.0457494,,,,
"서울특별시 도봉구 도당로 109, 방학동상가주택 1층 102호 (방학동)",건강약국,건강약국,02-3492-3588,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1102971,13,53,2,37.66683528,127.0386021,,,,
"서울특별시 도봉구 해등로 190, (쌍문동)",쌍문동 삼익세라믹 아파트 정문 길건너편 신원2차상가1층103호,건강제일녹십자약국,02-906-1024,1900,900,1900,900,1900,900,1900,900,1900,900,1900,900,C1102064,13,94,3,37.65825851,127.0356239,,,,
서울특별시 도봉구 도봉로 724,방학역1번출구앞,고명약국,02-3493-0343,2100,930,2100,930,2100,930,2100,930,2100,930,1800,930,C1101929,13,33,4,37.66903211,127.04384,,,,
"서울특별시 도봉구 덕릉로 238, 1층 (창동)",창3동신창시장입구맞은편,금빛약국,02-903-6479,2030,900,2030,900,2030,900,2030,900,2030,900,1630,900,C1102047,14,73,5,37.63896291,127.0386565,,,,
"서울특별시 도봉구 방학로 223, 101호 (방학동, 사천목씨종친회관)",신동아프라자 101호,나진약국,02-3491-9158,1900,900,1900,900,1900,900,1900,900,1900,900,1900,900,C1101971,13,62,6,37.66132042,127.0274993,,,,
"서울특별시 도봉구 우이천로4길 32, 1층 (창동)",창3동 신창동교회 옆,녹십자약국,02-992-9266,2100,900,2100,900,2100,900,2100,900,2100,900,1500,900,C1102797,14,82,7,37.63385445,127.0412157,,,,
"서울특별시 도봉구 해등로 255, 101동 207호 (쌍문동, 에벤에셀)",뉴메디슨약국,뉴메디슨약국,02-991-5365,2030,830,2030,830,2030,830,2030,830,2030,830,2000,830,C1102683,14,29,8,37.65737396,127.0281914,,,,
"서울특별시 도봉구 덕릉로 236, 1층 (창동)",창3동신창시장입구맞은편,뉴지명약국,02-993-2082,2000,900,2000,900,2000,900,2000,900,2000,900,2100,900,C1104405,14,73,9,37.63872869,127.0385476,,,,
"서울특별시 도봉구 도봉로 726, 1층 (방학동)",늘기쁜약국,늘기쁜약국,02-955-9988,1800,900,1900,900,1900,900,1900,900,1900,900,1900,900,C1108054,13,33,10,37.66915401,127.0438467,,,,
